videoId,brightness,subject_size,text_density,entropy,background_lightning_ratio,background_color_simplicity
MNnJE8ZFo8Y,None,None,None,None,None,None
y_1D9Tq8fI4,None,None,None,None,None,None
wuzUbVsVR2s,None,None,None,None,None,None
ndGiKVDgbHI,None,None,None,None,None,None
Q0CbN8sfihY,None,None,None,None,None,None
WR7cc5t7tv8,None,None,None,None,None,None
m8e-FF8MsqU,None,None,None,None,None,None
kYzz0FSgpSU,None,None,None,None,None,None
fn5WNxy-Wcw,None,None,None,None,None,None
A2WnsyLv5Bo,None,None,None,None,None,None
Qaj32KnlMyY,None,None,None,None,None,None
